Parameters,Train Score,Test Score
"[0.5, 0.03745646942306419, 0.1629059157907154, 0.2214956762885949, 0.23614314033207043, 0.34199879816555506]",0.48,0.335
"[0.5, 0.016331799818210917, 0.0764167717945985, 0.25533390544130646, 0.42307262224812814, 0.22884490069775595]",0.435,0.365
"[0.5, 0.028454965616173094, 0.09696608956241444, 0.2578888129739438, 0.28644431247572016, 0.33024581937174846]",0.455,0.35
"[0.5, 0.059505503011885584, 0.0838890090444288, 0.2541456285324577, 0.342134019834926, 0.26032583957630184]",0.4,0.28
"[0.5, 0.0732975115504505, 0.06704924893015103, 0.3558246426150332, 0.20819964628506446, 0.2956289506193009]",0.43,0.275
"[0.5, 0.04178349234698323, 0.11234494723835466, 0.2549676907498866, 0.2982008052145717, 0.2927030644502038]",0.4,0.365
"[0.5, 0.04894084945410456, 0.1681340559732992, 0.14876981332341588, 0.3518681968164573, 0.2822870844327231]",0.475,0.295
"[0.5, 0.027799031258239407, 0.1277202089859002, 0.18505309766535388, 0.2624527538653423, 0.39697490822516424]",0.43,0.285
"[0.5, 0.032810025767565816, 0.15710285660171983, 0.26167449419209243, 0.2788623954999912, 0.26955022793863076]",0.46,0.31
"[0.5, 0.01548440305806487, 0.17155781569667192, 0.22620520663689167, 0.35459093266935177, 0.23216164193901978]",0.425,0.295
"[0.5, 0.05335645694536236, 0.11382755510515506, 0.28157207263408945, 0.2607896060491014, 0.2904543092662917]",0.41,0.34
"[0.5, 0.05241538508894774, 0.12806564656140867, 0.26737124957122815, 0.3046408764059242, 0.24750684237249118]",0.43,0.255
"[0.5, 0.020047493711672894, 0.11604817565164191, 0.29122155350829776, 0.33024656553313736, 0.24243621159525006]",0.445,0.33
"[0.5, 0.04503948808314855, 0.07605096120794305, 0.1963675417746325, 0.3425136108269644, 0.3400283981073115]",0.455,0.31
"[0.5, 0.08881037411815465, 0.14080092269281638, 0.23113972700411914, 0.22581265406987955, 0.31343632211503025]",0.4,0.37
"[0.5, 0.06080988759406264, 0.12863016618702924, 0.16986933616198124, 0.30683412887112727, 0.3338564811857997]",0.455,0.305
"[0.5, 0.06592729039167383, 0.13036187934182997, 0.1950380852662434, 0.3268937493951062, 0.28177899560514663]",0.43,0.28
"[0.5, 0.049909549617790504, 0.16916188933468174, 0.17666768684009385, 0.21991654384374767, 0.3843443303636863]",0.48,0.34
"[0.5, 0.020079397100016116, 0.051161719835347556, 0.32025134078351475, 0.31003400469571685, 0.2984735375854046]",0.445,0.33
"[0.5, 0.03736734855606608, 0.15118385555195119, 0.16033003469448445, 0.3740588232483749, 0.2770599379491233]",0.38,0.33
"[0.5, 0.0535869008510023, 0.10720725624583384, 0.24853943307647738, 0.29889458192236773, 0.29177182790431866]",0.415,0.275
"[0.5, 0.024973783187302697, 0.08786106886996663, 0.2496679128071046, 0.30583461235923487, 0.33166262277639114]",0.475,0.285
"[0.5, 0.015388801997508127, 0.1574884852940335, 0.2862226147652138, 0.3462778564264406, 0.19462224151680405]",0.42,0.32
"[0.5, 0.07625724979618548, 0.1937131279851377, 0.21698815512300973, 0.23872931527335556, 0.2743121518223116]",0.455,0.295
"[0.5, 0.05817660930620456, 0.09123986247125775, 0.3077550596480602, 0.30269698511927157, 0.24013148345520594]",0.425,0.3
"[0.5, 0.011848998299716525, 0.17354740684827985, 0.3210043243599662, 0.2856318632509978, 0.20796740724103968]",0.35,0.25
"[0.5, 0.06491355418141592, 0.1025559037505019, 0.2375220873911958, 0.3055942371784096, 0.2894142174984768]",0.455,0.385
"[0.5, 0.07224366879583691, 0.11613703281240675, 0.15104122374455606, 0.3418484674674521, 0.318729607179748]",0.435,0.34
"[0.5, 0.06400532324797513, 0.10490855727013972, 0.2539806377014226, 0.27818096581784824, 0.29892451596261427]",0.44,0.275
"[0.5, 0.05348754452285696, 0.14356453603574443, 0.2121609534040521, 0.3833434636256652, 0.20744350241168125]",0.4,0.305
"[0.5, 0.014445647389702151, 0.06531712548728073, 0.23361536961840237, 0.3780948638802252, 0.3085269936243896]",0.43,0.295
"[0.5, 0.02742835538736385, 0.18408777614097474, 0.16040276160948874, 0.23960753172467705, 0.3884735751374957]",0.485,0.29
"[0.5, 0.031689995353885315, 0.12181650520078606, 0.3538871069621482, 0.2324188708605599, 0.2601875216226205]",0.415,0.31
"[0.5, 0.068809626026556, 0.17011885498178878, 0.19581840286274704, 0.3643925877084413, 0.2008605284204669]",0.41,0.335
"[0.5, 0.015491540193713628, 0.08445862616131074, 0.26598691392217977, 0.32327628238896444, 0.3107866373338315]",0.435,0.41
"[0.5, 0.0538055749686403, 0.14933853423466728, 0.24449659281891173, 0.35464898817640894, 0.19771030980137175]",0.41,0.305
"[0.5, 0.0509736086164019, 0.1513357131161365, 0.18398040986711964, 0.2397520470289753, 0.3739582213713667]",0.435,0.34
"[0.5, 0.04205526328042517, 0.05667462390940068, 0.22179480089342204, 0.3930340678772833, 0.28644124403946875]",0.405,0.31
"[0.5, 0.0638737469221861, 0.10025543413022416, 0.23672522368707527, 0.30659190389723384, 0.29255369136328063]",0.46,0.305
"[0.5, 0.02532808678871132, 0.09352498595246285, 0.22093377770523243, 0.35738084420730976, 0.30283230534628364]",0.44,0.335
"[0.5, 0.02820774361526939, 0.13089346740683105, 0.2448887546124659, 0.2831062553598796, 0.31290377900555416]",0.4,0.32
"[0.5, 0.05211490015486161, 0.05217874632534487, 0.2870895057566849, 0.29118826573588097, 0.31742858202722757]",0.485,0.34
"[0.5, 0.08058620120138806, 0.17889163271025463, 0.16877461185796194, 0.2582920811936969, 0.3134554730366986]",0.465,0.335
"[0.5, 0.031174694152257043, 0.1338552043684992, 0.2486215447224452, 0.2784421984073612, 0.3079063583494374]",0.44,0.285
"[0.5, 0.05588002195597627, 0.08993526721271679, 0.21287731513952157, 0.36643453764578526, 0.2748728580460001]",0.43,0.305
"[0.5, 0.03612276939272864, 0.13153712290762704, 0.2509709999439687, 0.33304048581487344, 0.24832862194080216]",0.395,0.26
"[0.5, 0.06942950295325293, 0.17146441688179828, 0.21475143211959652, 0.24774705207216072, 0.29660759597319153]",0.415,0.365
"[0.5, 0.026001156551631707, 0.163875188890593, 0.264463688472674, 0.18783900502904577, 0.3578209610560556]",0.45,0.285
"[0.5, 0.04223136682558348, 0.07474018801117108, 0.3495478306042286, 0.2912940727610499, 0.24218654179796686]",0.365,0.32
"[0.5, 0.05227202010969568, 0.10357102244933793, 0.27758131381737533, 0.2327087696836019, 0.3338668739399891]",0.475,0.29
"[0.5, 0.05717270415803701, 0.1300057406468612, 0.29196807667359276, 0.18897304897205347, 0.3318804295494555]",0.415,0.285
"[0.5, 0.02770308412305025, 0.10490279286969095, 0.2437080326636868, 0.34389279080545915, 0.2797932995381129]",0.405,0.305
"[0.5, 0.08749060342288213, 0.0699941773393606, 0.19313290586461532, 0.29643553022215546, 0.35294678315098643]",0.465,0.33
"[0.5, 0.06443699168641868, 0.1379236276655318, 0.18891931818212462, 0.35065967746858, 0.258060384997345]",0.405,0.325
"[0.5, 0.018658047892271202, 0.11689298137738051, 0.15756693436762848, 0.3204492168631572, 0.38643281949956265]",0.45,0.305
"[0.5, 0.07132921102396982, 0.09938488393209446, 0.3220476150184965, 0.2578006930614185, 0.2494375969640209]",0.44,0.275
"[0.5, 0.021571640859260964, 0.100191548177159, 0.21471285898960613, 0.3380773854234955, 0.3254465665504783]",0.45,0.36
"[0.5, 0.08907455769418961, 0.16259760866040784, 0.31786392957045256, 0.2283891102126989, 0.20207479386225105]",0.425,0.305
"[0.5, 0.03948079030061677, 0.12935485565942, 0.32660257036688, 0.26734494583386587, 0.23721683783921743]",0.375,0.325
"[0.5, 0.08387386750568196, 0.0669492018989459, 0.25399191386680364, 0.35738757793304143, 0.23779743879552695]",0.395,0.335
"[0.5, 0.07041751055603498, 0.16772203165375552, 0.2019777921620939, 0.32423419319491065, 0.23564847243320491]",0.455,0.24
"[0.5, 0.059611562410392185, 0.11553392433545465, 0.24334629431540228, 0.3548500635203676, 0.2266581554183833]",0.32,0.31
"[0.5, 0.09306666515993353, 0.10111197397537054, 0.3434048424865129, 0.22638006548553963, 0.23603645289264338]",0.47,0.285
"[0.5, 0.02679725924231616, 0.10105629411539138, 0.26563066146677566, 0.3229170681520825, 0.28359871702343437]",0.48,0.325
"[0.5, 0.05816315924165838, 0.10509472757556433, 0.2389732699091229, 0.25528020145090474, 0.34248864182274963]",0.495,0.3
"[0.5, 0.06087898828072219, 0.17187470814026104, 0.257833523445488, 0.29399192625186177, 0.21542085388166707]",0.395,0.335
"[0.5, 0.07144263957278241, 0.14737465112046502, 0.1507046387512165, 0.2797415348842325, 0.3507365356713036]",0.45,0.28
"[0.5, 0.044470954108668165, 0.11126105605407771, 0.2915173235034605, 0.2630484371075205, 0.289702229226273]",0.335,0.295
"[0.5, 0.020037479113485093, 0.09228066276206101, 0.24748307742981268, 0.37968464181898165, 0.26051413887565944]",0.375,0.305
"[0.5, 0.010397923720697205, 0.09614078072080262, 0.25425505771218626, 0.4104576977186221, 0.22874854012769172]",0.465,0.28
"[0.5, 0.05618334139250059, 0.12784554046060637, 0.23808566371539744, 0.19869148757412697, 0.37919396685736867]",0.49,0.325
"[0.5, 0.04202775688259161, 0.07355828135079719, 0.3118290854279936, 0.2334567771677152, 0.33912809917090236]",0.385,0.31
"[0.5, 0.07453531058392089, 0.13398718905263424, 0.18959943771411722, 0.23073997670662166, 0.371138085942706]",0.52,0.315
"[0.5, 0.04915832485009374, 0.12410457687050186, 0.17430550819622861, 0.383575671725518, 0.2688559183576578]",0.45,0.31
"[0.5, 0.07513136223789485, 0.1921857010980827, 0.15447127854495007, 0.3019539353680932, 0.2762577227509792]",0.48,0.31
"[0.5, 0.03775747484506282, 0.13271045056969957, 0.19625741577886252, 0.3377964795293703, 0.29547817927700476]",0.41,0.265
"[0.5, 0.07198094824311252, 0.06463539882666401, 0.21403700820541954, 0.31753762510602773, 0.33180901961877607]",0.46,0.335
"[0.5, 0.08472234116816424, 0.054152471979215015, 0.2865179709025748, 0.26791671590298904, 0.30669050004705684]",0.445,0.305
"[0.5, 0.012794036252684736, 0.06842602669325486, 0.336846857851303, 0.24331885378296986, 0.33861422541978753]",0.385,0.265
