Parameters,Train Score,Test Score
"[0.5, 0.07028669142435644, 0.14544864011756303, 0.26766144783278495, 0.3368821474466134, 0.1797210731786823]",0.47,0.245
"[0.5, 0.07913280642537983, 0.11221459671922901, 0.18811945652082623, 0.2825083322523111, 0.3380248080822538]",0.43,0.36
"[0.5, 0.10472377982058645, 0.1505097441669122, 0.16905138897372463, 0.2603250715225028, 0.31539001551627405]",0.51,0.32
"[0.5, 0.05619830662835008, 0.10447290791391091, 0.20694425283956527, 0.3113227241318503, 0.3210618084863234]",0.415,0.345
"[0.5, 0.08909245535263398, 0.10918569539051148, 0.3153119918251516, 0.25400586124926416, 0.23240399618243884]",0.415,0.24
"[0.5, 0.08211713639084545, 0.06967208393731493, 0.17979636351266887, 0.3593075827085481, 0.30910683345062256]",0.505,0.29
"[0.5, 0.08073091592451506, 0.1060005657164561, 0.2527510441976835, 0.23323613427648757, 0.3272813398848578]",0.465,0.28
"[0.5, 0.09516670362612387, 0.12524302687774141, 0.19246303452712227, 0.2749777599833434, 0.3121494749856692]",0.42,0.32
"[0.5, 0.033384999117682286, 0.15839074013288065, 0.20609308261391918, 0.36637832792359326, 0.2357528502119246]",0.43,0.325
"[0.5, 0.09381918016936548, 0.07051734981284713, 0.19677656498019275, 0.38006241896986726, 0.2588244860677273]",0.44,0.26
"[0.5, 0.01765026806588588, 0.1514956833104458, 0.21660176184159882, 0.2929318638804582, 0.32132042290161134]",0.43,0.33
"[0.5, 0.06439351724411789, 0.0918725762117007, 0.22804698969286197, 0.2744352160631871, 0.3412517007881323]",0.4,0.34
"[0.5, 0.09155963838464908, 0.1448096038110149, 0.20886783511934434, 0.2905190095729374, 0.26424391311205425]",0.455,0.37
"[0.5, 0.027714828648237537, 0.10948136060468991, 0.30924268842274255, 0.25625526064753934, 0.29730586167679063]",0.495,0.255
"[0.5, 0.026738674047521945, 0.07003398169659315, 0.25906072678553327, 0.35191376427882415, 0.2922528531915275]",0.455,0.3
"[0.5, 0.04076670117631936, 0.1459095776090186, 0.24942368287375175, 0.3339444463116798, 0.22995559202923044]",0.435,0.275
"[0.5, 0.03462754980719722, 0.15755437448269857, 0.2797069183153866, 0.2781991708247844, 0.24991198656993324]",0.39,0.305
"[0.5, 0.032963700455986775, 0.14752646242551815, 0.16844740573038394, 0.312210540752018, 0.33885189063609306]",0.425,0.3
"[0.5, 0.05167396000336019, 0.18580782232109258, 0.23643034686353712, 0.29814830105719325, 0.2279395697548169]",0.37,0.255
"[0.5, 0.06572058803688566, 0.11091792382841303, 0.3029094529394888, 0.23661232972241114, 0.28383970547280146]",0.41,0.28
"[0.5, 0.02182678514435916, 0.1346158324205739, 0.2179470045082592, 0.3326176613743532, 0.2929927165524545]",0.45,0.31
